circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,MAL REDDY GUDA,AGRICULTURAL,5,36,34.0,0,135.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,MANMARY,AGRICULTURAL,5,159,157.0,0,596.25
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,MARYAPOOR,AGRICULTURAL,5,31,30.0,0,116.25
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,MEERAPOOR,AGRICULTURAL,5,7,7.0,0,26.25
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,MUDDAM GUDA,AGRICULTURAL,5,70,68.0,0,262.5
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,MUKTAGUDA,AGRICULTURAL,5,31,30.0,0,116.25
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,KOTHAPALLY,AGRICULTURAL,5,11,10.0,0,41.25
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,AMDA POOR,AGRICULTURAL,5,288,280.0,0,1081.88
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,APPA REDDY GUDA,AGRICULTURAL,5,1,1.0,0,3.75
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,AZIZ NAGAR,AGRICULTURAL,5,450,426.0,8242,1691.25
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,BAKARAM,AGRICULTURAL,5,233,228.0,60,874.13
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,CHAKLI GUDA,AGRICULTURAL,5,38,36.0,0,148.13
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,ETHBAR PALLY,AGRICULTURAL,5,2,112.0,0,7.5
CYBERCITY,IBRAHIMBAGH,MOKILA,MOKILA,MAHARAJ PET,AGRICULTURAL,5,87,84.0,68,330.0
CYBERCITY,IBRAHIMBAGH,MOKILA,MOKILA,MIRZA GUDA,AGRICULTURAL,5,56,50.0,1140,210.0
CYBERCITY,IBRAHIMBAGH,MOKILA,MOKILA,MIYAKHAN GUDA,AGRICULTURAL,5,19,19.0,625,71.25
CYBERCITY,IBRAHIMBAGH,MOKILA,MOKILA,MOKILA,AGRICULTURAL,5,6,6.0,0,22.5
CYBERCITY,IBRAHIMBAGH,MOKILA,MOKILA,MOKILA THANDA,AGRICULTURAL,5,3,1.0,0,11.25
CYBERCITY,IBRAHIMBAGH,MOKILA,MOKILA,MOKILA VILLAGE,AGRICULTURAL,5,390,373.0,822,1475.38
CYBERCITY,IBRAHIMBAGH,MOKILA,MOKILA,PILLIGUNDLA,AGRICULTURAL,5,40,39.0,625,151.88
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,NADAR KHAN PET,AGRICULTURAL,5,45,45.0,0,168.75
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,NAGAR KUNTA,AGRICULTURAL,5,146,146.0,0,547.5
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,NAGARAO GUDA,AGRICULTURAL,5,32,31.0,0,120.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,NAREDLA GUDA,AGRICULTURAL,5,50,50.0,0,189.38
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,PATEL GUDA,AGRICULTURAL,5,8,8.0,0,30.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,PEDDA SOLIPET,AGRICULTURAL,5,128,124.0,0,487.5
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,PEDDA VEEDU,AGRICULTURAL,5,144,142.0,0,540.0
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,ETHBARPALLY,AGRICULTURAL,5,179,176.0,0,675.0
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,KANCHIMAN GUDA,AGRICULTURAL,5,7,7.0,0,28.13
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,KANKAMAMIDI,AGRICULTURAL,5,425,405.0,625,1615.63
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,KASIM BOWLI,AGRICULTURAL,5,30,30.0,0,112.5
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,KETHI REDDY PALLY,AGRICULTURAL,5,288,273.0,1250,1093.13
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,MEDIPALLY,AGRICULTURAL,5,2,2.0,0,7.5
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,MOINABAD,AGRICULTURAL,5,52,52.0,0,199.5
CYBERCITY,IBRAHIMBAGH,MOKILA,MOKILA,PODDATUR,AGRICULTURAL,5,361,349.0,6564,1392.38
CYBERCITY,IBRAHIMBAGH,MOKILA,MOKILA,TANGATOOR,AGRICULTURAL,5,343,333.0,3625,1340.63
CYBERCITY,IBRAHIMBAGH,MOKILA,MOKILA,YELVARTHY,AGRICULTURAL,5,239,231.0,1250,896.25
CYBERCITY,IBRAHIMBAGH,MOKILA,MOKILA,YERWA GUDA,AGRICULTURAL,5,3,1.0,0,11.25
CYBERCITY,IBRAHIMBAGH,MOKILA,MOKILA,KOTHAPALLY,AGRICULTURAL,5,25,18.0,0,93.75
CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,ALAM KHAN GUDA,AGRICULTURAL,5,2,2.0,0,7.5
CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,ALAMKHANGUDA,AGRICULTURAL,5,65,63.0,0,243.75
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,POLLARAM,AGRICULTURAL,5,71,71.0,0,266.25
